Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
615010;1000003171604769076;63791337263156;(-0.069, 1.123, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615029;1000003171699805891;63791337263157;(-0.069, 1.123, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615048;1000003171794847472;63791337263157;(-0.069, 1.123, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615070;1000003171904890322;63791337263157;(-0.069, 1.123, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615088;1000003171994927386;63791337263207;(-0.069, 1.123, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615170;1000003172405089300;63791337263982;(-0.069, 1.124, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615188;1000003172495127668;63791337263982;(-0.069, 1.124, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615210;1000003172605169160;63791337263982;(-0.069, 1.124, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615229;1000003172700199766;63791337263982;(-0.069, 1.124, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615248;1000003172795245565;63791337263982;(-0.069, 1.124, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615270;1000003172905279440;63791337264088;(-0.069, 1.124, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615288;1000003172995320508;63791337264168;(-0.069, 1.124, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615310;1000003173105353972;63791337264270;(-0.069, 1.124, 0.707);(-0.031, -0.463, -0.013, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615329;1000003173200386798;63791337264366;(-0.069, 1.124, 0.707);(-0.031, -0.463, -0.014, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615348;1000003173295415544;63791337264471;(-0.069, 1.124, 0.707);(-0.031, -0.463, -0.014, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615370;1000003173405454769;63791337264584;(-0.069, 1.124, 0.707);(-0.030, -0.463, -0.014, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615388;1000003173495482212;63791337264668;(-0.068, 1.124, 0.707);(-0.030, -0.463, -0.014, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615410;1000003173605518665;63791337264782;(-0.068, 1.124, 0.707);(-0.030, -0.463, -0.014, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615429;1000003173700554170;63791337264863;(-0.068, 1.124, 0.707);(-0.030, -0.463, -0.014, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615448;1000003173795585067;63791337264964;(-0.068, 1.124, 0.707);(-0.030, -0.463, -0.014, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615470;1000003173905624874;63791337265089;(-0.068, 1.124, 0.707);(-0.031, -0.463, -0.014, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615488;1000003173995653944;63791337265174;(-0.069, 1.124, 0.707);(-0.032, -0.463, -0.014, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615510;1000003174105693641;63791337265282;(-0.069, 1.124, 0.707);(-0.030, -0.463, -0.014, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615529;1000003174200724332;63791337265364;(-0.068, 1.124, 0.707);(-0.034, -0.464, -0.016, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615548;1000003174295758223;63791337265463;(-0.069, 1.124, 0.709);(-0.004, -0.469, -0.006, 0.883);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615569;1000003174400790700;63791337265575;(-0.069, 1.135, 0.709);(0.074, -0.464, -0.029, 0.882);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615588;1000003174495825082;63791337265683;(-0.065, 1.151, 0.703);(0.161, -0.434, -0.053, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615610;1000003174605867652;63791337265769;(-0.059, 1.163, 0.687);(0.225, -0.394, -0.085, 0.887);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615629;1000003174700900213;63791337265869;(-0.050, 1.177, 0.660);(0.306, -0.335, -0.130, 0.882);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615630;1000003174705901931;63791337265869;(-0.050, 1.177, 0.660);(0.306, -0.335, -0.130, 0.882);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615631;1000003174710903658;63791337265885;(-0.052, 1.173, 0.668);(0.316, -0.327, -0.131, 0.881);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615632;1000003174715905326;63791337265885;(-0.052, 1.173, 0.668);(0.316, -0.327, -0.131, 0.881);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615633;1000003174720907001;63791337265885;(-0.052, 1.173, 0.668);(0.316, -0.327, -0.131, 0.881);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615634;1000003174725908643;63791337265901;(-0.052, 1.173, 0.668);(0.324, -0.320, -0.132, 0.881);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615635;1000003174730910822;63791337265901;(-0.052, 1.173, 0.668);(0.324, -0.320, -0.132, 0.881);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615636;1000003174735912443;63791337265901;(-0.052, 1.173, 0.668);(0.324, -0.320, -0.132, 0.881);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615637;1000003174740914112;63791337265918;(-0.052, 1.173, 0.668);(0.330, -0.315, -0.131, 0.880);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615638;1000003174745915708;63791337265918;(-0.052, 1.173, 0.668);(0.330, -0.315, -0.131, 0.880);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615639;1000003174750917276;63791337265918;(-0.052, 1.173, 0.668);(0.330, -0.315, -0.131, 0.880);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615640;1000003174755918863;63791337265918;(-0.052, 1.173, 0.668);(0.330, -0.315, -0.131, 0.880);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615641;1000003174760920416;63791337265934;(-0.052, 1.173, 0.668);(0.336, -0.312, -0.130, 0.879);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615642;1000003174765921953;63791337265934;(-0.052, 1.173, 0.668);(0.336, -0.312, -0.130, 0.879);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615643;1000003174770923479;63791337265934;(-0.052, 1.173, 0.668);(0.336, -0.312, -0.130, 0.879);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615644;1000003174775925472;63791337265950;(-0.052, 1.173, 0.668);(0.348, -0.310, -0.127, 0.875);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615645;1000003174780926988;63791337265950;(-0.052, 1.173, 0.668);(0.348, -0.310, -0.127, 0.875);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615646;1000003174785929017;63791337265950;(-0.052, 1.173, 0.668);(0.348, -0.310, -0.127, 0.875);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615647;1000003174790931034;63791337265965;(-0.052, 1.173, 0.668);(0.348, -0.307, -0.119, 0.878);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615648;1000003174795932987;63791337265965;(-0.052, 1.173, 0.668);(0.348, -0.307, -0.119, 0.878);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615649;1000003174800935004;63791337265965;(-0.052, 1.173, 0.668);(0.348, -0.307, -0.119, 0.878);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615650;1000003174805936976;63791337265982;(-0.052, 1.173, 0.668);(0.340, -0.305, -0.119, 0.882);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615651;1000003174810938928;63791337265982;(-0.052, 1.173, 0.668);(0.340, -0.305, -0.119, 0.882);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615652;1000003174815940963;63791337265982;(-0.052, 1.173, 0.668);(0.340, -0.305, -0.119, 0.882);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615653;1000003174820942930;63791337265997;(-0.031, 1.220, 0.624);(0.335, -0.303, -0.118, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615654;1000003174825944812;63791337265997;(-0.031, 1.220, 0.624);(0.335, -0.303, -0.118, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615655;1000003174830946705;63791337265997;(-0.031, 1.220, 0.624);(0.335, -0.303, -0.118, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615656;1000003174835948551;63791337265997;(-0.031, 1.220, 0.624);(0.335, -0.303, -0.118, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615657;1000003174840950482;63791337266013;(-0.025, 1.228, 0.622);(0.334, -0.307, -0.115, 0.884);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615658;1000003174845952308;63791337266013;(-0.025, 1.228, 0.622);(0.334, -0.307, -0.115, 0.884);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615659;1000003174850954256;63791337266013;(-0.025, 1.228, 0.622);(0.334, -0.307, -0.115, 0.884);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615660;1000003174855956062;63791337266028;(-0.023, 1.236, 0.618);(0.329, -0.310, -0.111, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615661;1000003174860957931;63791337266028;(-0.023, 1.236, 0.618);(0.329, -0.310, -0.111, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615662;1000003174865959742;63791337266028;(-0.023, 1.236, 0.618);(0.329, -0.310, -0.111, 0.885);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615663;1000003174870961560;63791337266044;(-0.021, 1.243, 0.615);(0.326, -0.307, -0.109, 0.887);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615664;1000003174875963342;63791337266044;(-0.021, 1.243, 0.615);(0.326, -0.307, -0.109, 0.887);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615665;1000003174880965179;63791337266044;(-0.021, 1.243, 0.615);(0.326, -0.307, -0.109, 0.887);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615666;1000003174885966968;63791337266059;(-0.017, 1.251, 0.611);(0.324, -0.308, -0.110, 0.888);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615667;1000003174890968736;63791337266060;(-0.017, 1.251, 0.611);(0.324, -0.308, -0.110, 0.888);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615668;1000003174895970528;63791337266060;(-0.017, 1.251, 0.611);(0.324, -0.308, -0.110, 0.888);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615669;1000003174900972277;63791337266074;(-0.014, 1.258, 0.607);(0.322, -0.308, -0.112, 0.888);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615670;1000003174905973982;63791337266074;(-0.014, 1.258, 0.607);(0.322, -0.308, -0.112, 0.888);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615671;1000003174910975691;63791337266074;(-0.014, 1.258, 0.607);(0.322, -0.308, -0.112, 0.888);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615672;1000003174915977333;63791337266090;(-0.012, 1.265, 0.603);(0.320, -0.305, -0.114, 0.890);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615673;1000003174920979036;63791337266090;(-0.012, 1.265, 0.603);(0.320, -0.305, -0.114, 0.890);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615674;1000003174925980679;63791337266090;(-0.012, 1.265, 0.603);(0.320, -0.305, -0.114, 0.890);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615675;1000003174930982830;63791337266105;(-0.010, 1.273, 0.599);(0.319, -0.304, -0.115, 0.890);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615676;1000003174935984470;63791337266105;(-0.010, 1.273, 0.599);(0.319, -0.304, -0.115, 0.890);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615677;1000003174940986467;63791337266105;(-0.010, 1.273, 0.599);(0.319, -0.304, -0.115, 0.890);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615678;1000003174945988091;63791337266120;(-0.007, 1.281, 0.595);(0.320, -0.302, -0.113, 0.891);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615679;1000003174950990156;63791337266120;(-0.007, 1.281, 0.595);(0.320, -0.302, -0.113, 0.891);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
615680;1000003174955991733;63791337266120;(-0.007, 1.281, 0.595);(0.320, -0.302, -0.113, 0.891);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
