Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
128224;1000000741062216536;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128225;1000000741067216641;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128226;1000000741072216714;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128227;1000000741077216646;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128228;1000000741082216547;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128229;1000000741087216443;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128230;1000000741092216334;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128231;1000000741097216221;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128232;1000000741102216103;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128233;1000000741107215980;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128234;1000000741112219313;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128235;1000000741117222629;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128236;1000000741122225929;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128237;1000000741127225779;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128238;1000000741132225760;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128239;1000000741137225870;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
128240;1000000741142226084;63791269452409;(0.124, 1.782, 0.037);(-0.366, 0.016, -0.067, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
