Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
374461;1000001968419670668;63791336059980;(-0.525, 1.129, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374480;1000001968514701537;63791336059981;(-0.525, 1.129, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374501;1000001968619739753;63791336059981;(-0.525, 1.129, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374520;1000001968714770431;63791336059981;(-0.525, 1.129, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374539;1000001968809804641;63791336060054;(-0.525, 1.129, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374720;1000001969715139179;63791336061292;(-0.525, 1.129, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374739;1000001969810169936;63791336061292;(-0.525, 1.129, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374761;1000001969920209484;63791336061292;(-0.525, 1.129, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374779;1000001970010238155;63791336061292;(-0.525, 1.129, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374801;1000001970120278458;63791336061292;(-0.525, 1.129, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374820;1000001970215316910;63791336061739;(-0.525, 1.128, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374839;1000001970310349413;63791336061739;(-0.525, 1.128, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374861;1000001970420392566;63791336061739;(-0.525, 1.128, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374879;1000001970510423494;63791336061739;(-0.525, 1.128, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374901;1000001970620464297;63791336061804;(-0.525, 1.129, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374920;1000001970715495009;63791336061882;(-0.526, 1.129, 0.449);(-0.025, -0.368, -0.009, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374939;1000001970810530666;63791336061985;(-0.525, 1.128, 0.448);(-0.026, -0.367, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374961;1000001970920567138;63791336062085;(-0.525, 1.128, 0.449);(-0.027, -0.366, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
374979;1000001971010599812;63791336062200;(-0.525, 1.128, 0.449);(-0.027, -0.367, -0.011, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375001;1000001971120643768;63791336062295;(-0.525, 1.129, 0.449);(-0.030, -0.366, -0.012, 0.930);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375020;1000001971215678591;63791336062378;(-0.523, 1.128, 0.447);(-0.027, -0.363, -0.010, 0.931);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375039;1000001971310716012;63791336062479;(-0.524, 1.129, 0.448);(-0.031, -0.374, -0.012, 0.927);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375061;1000001971420752916;63791336062592;(-0.522, 1.129, 0.448);(-0.023, -0.352, -0.009, 0.936);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375079;1000001971510787344;63791336062682;(-0.514, 1.133, 0.438);(-0.029, -0.330, 0.028, 0.943);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375101;1000001971620822854;63791336062788;(-0.509, 1.144, 0.424);(-0.053, -0.303, -0.010, 0.952);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375120;1000001971715858010;63791336062892;(-0.510, 1.163, 0.413);(-0.099, -0.279, -0.040, 0.954);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375139;1000001971810888931;63791336062977;(-0.506, 1.184, 0.407);(-0.151, -0.258, -0.040, 0.953);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375161;1000001971920930240;63791336063087;(-0.491, 1.203, 0.396);(-0.189, -0.244, -0.030, 0.951);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375179;1000001972010959654;63791336063179;(-0.471, 1.215, 0.383);(-0.184, -0.234, -0.015, 0.955);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375201;1000001972120998831;63791336063310;(-0.438, 1.223, 0.363);(-0.142, -0.202, 0.011, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375220;1000001972216036882;63791336063384;(-0.419, 1.226, 0.352);(-0.112, -0.187, 0.018, 0.976);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375239;1000001972311073311;63791336063484;(-0.396, 1.229, 0.337);(-0.082, -0.174, 0.025, 0.981);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375261;1000001972421114826;63791336063591;(-0.371, 1.235, 0.322);(-0.065, -0.165, 0.035, 0.983);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375279;1000001972511146533;63791336063672;(-0.350, 1.241, 0.311);(-0.067, -0.160, 0.039, 0.984);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375301;1000001972621188196;63791336063785;(-0.322, 1.256, 0.299);(-0.082, -0.148, 0.050, 0.984);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
375320;1000001972716226817;63791336063885;(-0.297, 1.269, 0.288);(-0.093, -0.137, 0.059, 0.984);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
