Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
245048;1000001325397078425;63791270036882;(-0.312, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245066;1000001325487113323;63791270036883;(-0.312, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245088;1000001325597151198;63791270036883;(-0.312, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245107;1000001325692185850;63791270036883;(-0.312, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245166;1000001325987354962;63791270037589;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245188;1000001326097385472;63791270037589;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245207;1000001326192410590;63791270037589;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245226;1000001326287435237;63791270037589;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245248;1000001326397466554;63791270037589;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245266;1000001326487549254;63791270037712;(-0.312, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245288;1000001326597577910;63791270037811;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245307;1000001326692602820;63791270037910;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245326;1000001326787627140;63791270037996;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245348;1000001326897735847;63791270038143;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245366;1000001326987757814;63791270038211;(-0.312, 1.144, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245388;1000001327097792301;63791270038315;(-0.312, 1.144, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245407;1000001327192821059;63791270038413;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245426;1000001327287848502;63791270038501;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.003, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245448;1000001327397880233;63791270038585;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245466;1000001327487905693;63791270038694;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245488;1000001327597934538;63791270038796;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245507;1000001327692959468;63791270038892;(-0.313, 1.143, 0.411);(-0.022, 0.248, -0.003, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245526;1000001327787983023;63791270038982;(-0.312, 1.144, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245548;1000001327898009616;63791270039092;(-0.312, 1.144, 0.411);(-0.022, 0.248, -0.003, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
245566;1000001327988031515;63791270039196;(-0.312, 1.144, 0.411);(-0.022, 0.248, -0.002, 0.969);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
