Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
853420;1000004364091348906;63791338455612;(1.107, 0.552, 0.496);(-0.021, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853439;1000004364186378953;63791338455612;(1.107, 0.552, 0.496);(-0.021, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853460;1000004364291427899;63791338455612;(1.107, 0.552, 0.496);(-0.021, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853479;1000004364386457744;63791338455612;(1.107, 0.552, 0.496);(-0.021, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853501;1000004364496495065;63791338455673;(1.107, 0.552, 0.496);(-0.021, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853579;1000004364886643822;63791338456516;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853601;1000004364996684159;63791338456516;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853620;1000004365091714239;63791338456516;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853639;1000004365186747921;63791338456516;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853660;1000004365291780879;63791338456516;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853679;1000004365386814813;63791338456568;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853701;1000004365496858026;63791338456671;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853720;1000004365591891012;63791338456753;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853738;1000004365681926389;63791338456847;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853760;1000004365791964846;63791338456956;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853779;1000004365887001072;63791338457049;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853801;1000004365997036826;63791338457164;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853820;1000004366092073110;63791338457264;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853838;1000004366182108678;63791338457350;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853860;1000004366292148114;63791338457456;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853879;1000004366387178645;63791338457549;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853901;1000004366497217560;63791338457683;(1.107, 0.551, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853920;1000004366592254724;63791338457761;(1.107, 0.551, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853938;1000004366682291722;63791338457850;(1.107, 0.551, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853960;1000004366792333578;63791338457961;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
853979;1000004366887366798;63791338458050;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
854001;1000004366997406969;63791338458161;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
854020;1000004367092447895;63791338458261;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
854038;1000004367182490273;63791338458350;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
854060;1000004367292534875;63791338458461;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
854079;1000004367387567072;63791338458550;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
854101;1000004367497609082;63791338458661;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
854120;1000004367592650099;63791338458772;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
854138;1000004367682690647;63791338458850;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
854160;1000004367792724881;63791338458961;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
854179;1000004367887758776;63791338459050;(1.107, 0.552, 0.496);(-0.022, 0.369, -0.001, 0.929);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
