Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
214394;1000001167792751220;63791335259359;(0.997, 0.438, 0.678);(-0.047, 0.011, -0.025, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
214413;1000001167887783149;63791335259359;(0.997, 0.438, 0.678);(-0.047, 0.011, -0.025, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
214435;1000001167997824629;63791335259359;(0.997, 0.438, 0.678);(-0.047, 0.011, -0.025, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
214454;1000001168092855978;63791335259359;(0.997, 0.438, 0.678);(-0.047, 0.011, -0.025, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
214472;1000001168182889590;63791335259359;(0.997, 0.438, 0.678);(-0.047, 0.011, -0.025, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
214594;1000001168793097970;63791335260426;(0.997, 0.438, 0.678);(-0.047, 0.011, -0.025, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
214613;1000001168888136526;63791335260426;(0.997, 0.438, 0.678);(-0.047, 0.011, -0.025, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
214635;1000001168998175139;63791335260426;(0.997, 0.438, 0.678);(-0.047, 0.011, -0.025, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
214654;1000001169093215857;63791335260426;(0.997, 0.438, 0.678);(-0.047, 0.011, -0.025, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
214672;1000001169183249359;63791335260426;(0.997, 0.438, 0.678);(-0.047, 0.011, -0.025, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
