Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
81671;1000000508219239521;63791269219740;(0.693, 1.598, 0.394);(-0.029, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81692;1000000508324277177;63791269219740;(0.693, 1.598, 0.394);(-0.029, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81711;1000000508419316188;63791269219740;(0.693, 1.598, 0.394);(-0.029, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81730;1000000508514349271;63791269219740;(0.693, 1.598, 0.394);(-0.029, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81830;1000000509014533440;63791269220627;(0.693, 1.598, 0.394);(-0.030, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81852;1000000509124577092;63791269220627;(0.693, 1.598, 0.394);(-0.030, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81870;1000000509214609413;63791269220627;(0.693, 1.598, 0.394);(-0.030, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81892;1000000509324652272;63791269220627;(0.693, 1.598, 0.394);(-0.030, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81911;1000000509419685697;63791269220627;(0.693, 1.598, 0.394);(-0.030, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81930;1000000509514723136;63791269220698;(0.693, 1.598, 0.394);(-0.029, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81952;1000000509624759428;63791269220808;(0.694, 1.598, 0.395);(-0.029, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81970;1000000509714794461;63791269220897;(0.694, 1.598, 0.395);(-0.028, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
81992;1000000509824831714;63791269221007;(0.694, 1.598, 0.397);(-0.027, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82011;1000000509919866565;63791269221107;(0.694, 1.598, 0.397);(-0.026, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82030;1000000510014897079;63791269221219;(0.694, 1.598, 0.397);(-0.026, 0.051, -0.017, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82052;1000000510124940910;63791269221308;(0.694, 1.599, 0.398);(-0.026, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82070;1000000510214976883;63791269221397;(0.694, 1.599, 0.398);(-0.027, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82092;1000000510325016815;63791269221508;(0.694, 1.599, 0.398);(-0.027, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82111;1000000510420055011;63791269221608;(0.694, 1.599, 0.399);(-0.026, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82130;1000000510515087599;63791269221697;(0.694, 1.599, 0.399);(-0.026, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82152;1000000510625129236;63791269221808;(0.694, 1.599, 0.399);(-0.026, 0.051, -0.016, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82170;1000000510715159652;63791269221897;(0.694, 1.599, 0.399);(-0.025, 0.051, -0.017, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82192;1000000510825200088;63791269222007;(0.695, 1.601, 0.398);(-0.017, 0.057, 0.003, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82211;1000000510920231676;63791269222108;(0.694, 1.612, 0.393);(-0.036, 0.078, 0.107, 0.991);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82230;1000000511015266330;63791269222196;(0.683, 1.626, 0.382);(-0.043, 0.107, 0.225, 0.968);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82252;1000000511125311012;63791269222318;(0.659, 1.644, 0.366);(-0.039, 0.097, 0.379, 0.920);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82270;1000000511215343593;63791269222396;(0.632, 1.653, 0.353);(-0.054, 0.066, 0.469, 0.879);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82292;1000000511325385953;63791269222507;(0.565, 1.653, 0.322);(-0.029, -0.008, 0.485, 0.874);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82311;1000000511420419109;63791269222607;(0.483, 1.635, 0.297);(-0.050, -0.076, 0.462, 0.882);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82330;1000000511515456525;63791269222697;(0.395, 1.593, 0.270);(-0.031, -0.133, 0.424, 0.895);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82352;1000000511625493930;63791269222807;(0.294, 1.514, 0.237);(0.017, -0.205, 0.397, 0.895);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82370;1000000511715528392;63791269222896;(0.223, 1.446, 0.206);(0.035, -0.273, 0.410, 0.869);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82392;1000000511825563801;63791269223008;(0.156, 1.379, 0.169);(0.058, -0.321, 0.401, 0.856);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82411;1000000511920598997;63791269223107;(0.118, 1.342, 0.156);(0.072, -0.297, 0.353, 0.884);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82430;1000000512015629579;63791269223197;(0.095, 1.308, 0.147);(0.112, -0.244, 0.275, 0.923);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82451;1000000512120668231;63791269223307;(0.073, 1.262, 0.135);(0.185, -0.169, 0.167, 0.954);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82470;1000000512215706568;63791269223418;(0.063, 1.219, 0.112);(0.270, -0.113, 0.101, 0.951);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82492;1000000512325745042;63791269223505;(0.068, 1.197, 0.082);(0.332, -0.123, 0.066, 0.933);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82511;1000000512420782512;63791269223605;(0.083, 1.169, 0.045);(0.376, -0.131, 0.079, 0.914);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82530;1000000512515815644;63791269223694;(0.112, 1.136, 0.004);(0.392, -0.153, 0.176, 0.890);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82551;1000000512620857225;63791269223805;(0.170, 1.087, -0.048);(0.416, -0.162, 0.278, 0.851);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82592;1000000512825932780;63791269224005;(0.272, 1.030, -0.130);(0.540, -0.120, 0.276, 0.786);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82611;1000000512920963847;63791269224105;(0.298, 1.013, -0.156);(0.564, -0.138, 0.262, 0.771);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82630;1000000513016002857;63791269224194;(0.309, 1.005, -0.172);(0.596, -0.144, 0.232, 0.755);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82651;1000000513121044519;63791269224305;(0.303, 1.001, -0.187);(0.638, -0.130, 0.174, 0.738);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82670;1000000513216078269;63791269224394;(0.297, 0.998, -0.194);(0.667, -0.101, 0.134, 0.726);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82692;1000000513326121211;63791269224527;(0.297, 0.999, -0.202);(0.695, -0.122, 0.070, 0.705);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82711;1000000513421154200;63791269224605;(0.293, 1.008, -0.206);(0.704, -0.152, 0.049, 0.692);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82729;1000000513511188607;63791269224694;(0.286, 1.022, -0.207);(0.705, -0.178, 0.020, 0.686);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82751;1000000513621225965;63791269224806;(0.273, 1.041, -0.200);(0.697, -0.191, 0.021, 0.691);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82770;1000000513716261691;63791269224894;(0.262, 1.065, -0.191);(0.701, -0.199, 0.039, 0.684);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82792;1000000513826297151;63791269225005;(0.248, 1.108, -0.177);(0.704, -0.232, 0.051, 0.669);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82811;1000000513921331948;63791269225105;(0.225, 1.152, -0.163);(0.687, -0.262, 0.061, 0.675);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82829;1000000514011361166;63791269225194;(0.206, 1.186, -0.157);(0.675, -0.282, 0.079, 0.677);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82851;1000000514121402529;63791269225305;(0.183, 1.220, -0.149);(0.643, -0.304, 0.104, 0.695);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82870;1000000514216441016;63791269225394;(0.168, 1.245, -0.141);(0.586, -0.327, 0.111, 0.733);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82892;1000000514326479445;63791269225505;(0.153, 1.276, -0.133);(0.477, -0.377, 0.107, 0.787);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82911;1000000514421520090;63791269225617;(0.143, 1.309, -0.128);(0.354, -0.429, 0.089, 0.826);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82929;1000000514511554012;63791269225694;(0.139, 1.327, -0.126);(0.291, -0.463, 0.073, 0.834);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82951;1000000514621595776;63791269225806;(0.141, 1.336, -0.128);(0.278, -0.467, 0.068, 0.836);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82970;1000000514716627602;63791269225895;(0.147, 1.337, -0.130);(0.298, -0.457, 0.075, 0.834);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
82992;1000000514826668480;63791269226006;(0.152, 1.340, -0.131);(0.302, -0.456, 0.078, 0.833);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
83011;1000000514921699049;63791269226105;(0.155, 1.342, -0.130);(0.293, -0.459, 0.076, 0.835);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
