Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
409753;1000002149226579110;63791270860638;(-0.414, 1.139, 0.476);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
409771;1000002149316634558;63791270860638;(-0.414, 1.139, 0.476);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
409790;1000002149411691104;63791270860638;(-0.414, 1.139, 0.476);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
409912;1000002150021667518;63791270861590;(-0.414, 1.138, 0.476);(0.000, 0.087, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
409931;1000002150116673351;63791270861590;(-0.414, 1.138, 0.476);(0.000, 0.087, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
409953;1000002150226689007;63791270861590;(-0.414, 1.138, 0.476);(0.000, 0.087, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
409971;1000002150316699627;63791270861590;(-0.414, 1.138, 0.476);(0.000, 0.087, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
409990;1000002150411710851;63791270861623;(-0.412, 1.139, 0.475);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410012;1000002150521726839;63791270861743;(-0.412, 1.140, 0.475);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410031;1000002150616804327;63791270861855;(-0.412, 1.140, 0.475);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410052;1000002150721884164;63791270861954;(-0.413, 1.139, 0.475);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410071;1000002150816953588;63791270862045;(-0.413, 1.139, 0.475);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410090;1000002150912019667;63791270862126;(-0.413, 1.139, 0.475);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410112;1000002151022091129;63791270862239;(-0.414, 1.139, 0.476);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410131;1000002151117150494;63791270862309;(-0.413, 1.139, 0.475);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410152;1000002151222212678;63791270862438;(-0.413, 1.139, 0.476);(0.000, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410171;1000002151317266296;63791270862528;(-0.414, 1.139, 0.476);(0.001, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410190;1000002151412318370;63791270862614;(-0.414, 1.139, 0.476);(0.002, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410212;1000002151522269658;63791270862722;(-0.414, 1.140, 0.477);(0.003, 0.086, -0.005, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
410231;1000002151617258397;63791270862822;(-0.415, 1.140, 0.477);(0.003, 0.086, -0.004, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
