Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
148599;1000000842974564629;63791269554425;(0.125, 1.786, 0.036);(-0.395, 0.005, -0.082, 0.915);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148621;1000000843084567275;63791269554425;(0.125, 1.786, 0.036);(-0.395, 0.005, -0.082, 0.915);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148640;1000000843179570284;63791269554425;(0.125, 1.786, 0.036);(-0.395, 0.005, -0.082, 0.915);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148661;1000000843284578937;63791269554472;(0.125, 1.786, 0.036);(-0.395, 0.005, -0.082, 0.915);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148721;1000000843584612209;63791269555193;(0.125, 1.786, 0.038);(-0.395, 0.004, -0.082, 0.915);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148740;1000000843679627701;63791269555193;(0.125, 1.786, 0.038);(-0.395, 0.004, -0.082, 0.915);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148761;1000000843784647754;63791269555193;(0.125, 1.786, 0.038);(-0.395, 0.004, -0.082, 0.915);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148780;1000000843879729724;63791269555193;(0.125, 1.786, 0.038);(-0.395, 0.004, -0.082, 0.915);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148799;1000000843974742780;63791269555193;(0.125, 1.786, 0.038);(-0.395, 0.004, -0.082, 0.915);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148821;1000000844084758010;63791269555274;(0.124, 1.786, 0.039);(-0.394, 0.003, -0.082, 0.916);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148839;1000000844174770905;63791269555363;(0.123, 1.786, 0.039);(-0.394, 0.003, -0.082, 0.916);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148861;1000000844284860010;63791269555474;(0.123, 1.785, 0.039);(-0.393, 0.002, -0.081, 0.916);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148880;1000000844379932985;63791269555574;(0.122, 1.785, 0.040);(-0.392, 0.002, -0.081, 0.916);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148899;1000000844474939007;63791269555662;(0.122, 1.785, 0.041);(-0.392, 0.002, -0.081, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148921;1000000844585020000;63791269555774;(0.121, 1.785, 0.041);(-0.391, 0.001, -0.081, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148939;1000000844675083399;63791269555863;(0.121, 1.784, 0.042);(-0.389, 0.001, -0.082, 0.918);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148961;1000000844785155779;63791269555996;(0.119, 1.784, 0.044);(-0.386, 0.000, -0.082, 0.919);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148980;1000000844880215381;63791269556074;(0.119, 1.783, 0.045);(-0.383, 0.000, -0.082, 0.920);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
148999;1000000844975272458;63791269556163;(0.118, 1.782, 0.046);(-0.379, -0.003, -0.085, 0.922);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149021;1000000845085262170;63791269556274;(0.116, 1.781, 0.049);(-0.375, -0.006, -0.087, 0.923);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149039;1000000845175376593;63791269556363;(0.114, 1.781, 0.050);(-0.373, -0.008, -0.089, 0.923);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149061;1000000845285364369;63791269556474;(0.112, 1.780, 0.052);(-0.372, -0.011, -0.088, 0.924);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149080;1000000845380356677;63791269556574;(0.110, 1.780, 0.053);(-0.370, -0.013, -0.089, 0.925);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149099;1000000845475353347;63791269556662;(0.108, 1.780, 0.054);(-0.369, -0.015, -0.089, 0.925);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149121;1000000845585354564;63791269556774;(0.107, 1.780, 0.055);(-0.370, -0.016, -0.088, 0.925);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149139;1000000845675359638;63791269556862;(0.107, 1.780, 0.055);(-0.370, -0.016, -0.087, 0.925);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149161;1000000845785369743;63791269556974;(0.107, 1.780, 0.055);(-0.370, -0.015, -0.087, 0.925);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149180;1000000845880381260;63791269557085;(0.106, 1.780, 0.055);(-0.371, -0.015, -0.086, 0.924);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149199;1000000845975459324;63791269557162;(0.106, 1.780, 0.055);(-0.372, -0.015, -0.087, 0.924);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149221;1000000846085474258;63791269557274;(0.107, 1.780, 0.055);(-0.372, -0.015, -0.087, 0.924);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149239;1000000846175490493;63791269557362;(0.107, 1.780, 0.055);(-0.372, -0.015, -0.087, 0.924);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149261;1000000846285507776;63791269557474;(0.107, 1.780, 0.055);(-0.372, -0.014, -0.087, 0.924);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149280;1000000846380527477;63791269557574;(0.107, 1.780, 0.055);(-0.373, -0.014, -0.087, 0.924);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149299;1000000846475613817;63791269557662;(0.108, 1.780, 0.055);(-0.373, -0.014, -0.087, 0.924);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149321;1000000846585703001;63791269557773;(0.109, 1.780, 0.054);(-0.373, -0.014, -0.088, 0.923);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
149339;1000000846675715410;63791269557862;(0.109, 1.780, 0.054);(-0.373, -0.013, -0.088, 0.923);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
