Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
348535;1000001843023040915;63791270554538;(0.091, 1.773, 0.033);(-0.461, 0.036, -0.024, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348553;1000001843113075438;63791270554538;(0.091, 1.773, 0.033);(-0.461, 0.036, -0.024, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348575;1000001843223120761;63791270554538;(0.091, 1.773, 0.033);(-0.461, 0.036, -0.024, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348594;1000001843318158274;63791270554538;(0.091, 1.773, 0.033);(-0.461, 0.036, -0.024, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348675;1000001843723305544;63791270555395;(0.091, 1.773, 0.033);(-0.462, 0.037, -0.024, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348694;1000001843818337941;63791270555395;(0.091, 1.773, 0.033);(-0.462, 0.037, -0.024, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348713;1000001843913373031;63791270555395;(0.091, 1.773, 0.033);(-0.462, 0.037, -0.024, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348734;1000001844018408216;63791270555395;(0.091, 1.773, 0.033);(-0.462, 0.037, -0.024, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348753;1000001844113441909;63791270555395;(0.091, 1.773, 0.033);(-0.462, 0.037, -0.024, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348775;1000001844223475068;63791270555431;(0.090, 1.773, 0.034);(-0.461, 0.036, -0.022, 0.886);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348794;1000001844318507526;63791270555523;(0.089, 1.773, 0.034);(-0.461, 0.036, -0.023, 0.887);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348813;1000001844413541302;63791270555601;(0.089, 1.773, 0.034);(-0.460, 0.037, -0.023, 0.887);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348834;1000001844518508327;63791270555713;(0.090, 1.773, 0.035);(-0.459, 0.037, -0.023, 0.887);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348853;1000001844613549885;63791270555800;(0.090, 1.773, 0.035);(-0.458, 0.037, -0.023, 0.888);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348875;1000001844723597519;63791270555912;(0.089, 1.773, 0.036);(-0.454, 0.037, -0.023, 0.890);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348894;1000001844818638903;63791270556015;(0.089, 1.772, 0.039);(-0.447, 0.038, -0.022, 0.893);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
348913;1000001844913681801;63791270556101;(0.089, 1.770, 0.046);(-0.427, 0.041, -0.019, 0.903);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
