Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
166059;1000000930306931500;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166060;1000000930311932261;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166061;1000000930316933150;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166062;1000000930321934166;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166063;1000000930326935282;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166064;1000000930331936524;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166065;1000000930336937865;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166066;1000000930341939198;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166067;1000000930346940520;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166068;1000000930351941753;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166069;1000000930356942869;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166070;1000000930361943840;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166071;1000000930366944667;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166072;1000000930371948812;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166073;1000000930376949369;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166074;1000000930381949782;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166075;1000000930386962006;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166076;1000000930391962353;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166077;1000000930396962827;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166078;1000000930401963429;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166079;1000000930406964132;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166080;1000000930411964962;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166081;1000000930416965918;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166082;1000000930421966975;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166083;1000000930426968157;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166084;1000000930431969437;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166085;1000000930436970707;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166086;1000000930441971966;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166087;1000000930446973214;63791269641636;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166088;1000000930451977886;63791269641672;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166089;1000000930456978968;63791269641672;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166090;1000000930461979904;63791269641672;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166091;1000000930466980696;63791269641672;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166092;1000000930471981371;63791269641672;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166093;1000000930476981902;63791269641672;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166094;1000000930481985722;63791269641672;(0.123, 1.778, 0.030);(-0.390, 0.056, -0.057, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166141;1000000930717051163;63791269642393;(0.123, 1.778, 0.030);(-0.390, 0.057, -0.058, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166142;1000000930722052403;63791269642393;(0.123, 1.778, 0.030);(-0.390, 0.057, -0.058, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166143;1000000930727053633;63791269642393;(0.123, 1.778, 0.030);(-0.390, 0.057, -0.058, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
166144;1000000930732054853;63791269642393;(0.123, 1.778, 0.030);(-0.390, 0.057, -0.058, 0.917);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
