Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusItem
3099272;1000123207394475758;63791268438363;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099291;1000123207489503749;63791268438363;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099312;1000123207594534580;63791268438363;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099331;1000123207689562085;63791268438363;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099412;1000123208094860292;63791268439222;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099431;1000123208189935244;63791268439222;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099450;1000123208285241093;63791268439222;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099472;1000123208395242173;63791268439222;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099490;1000123208485303169;63791268439222;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099512;1000123208595305434;63791268439268;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099531;1000123208690307413;63791268439357;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099550;1000123208785309318;63791268439457;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099572;1000123208895320202;63791268439567;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099590;1000123208985329676;63791268439656;(0.708, 1.605, 0.430);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099612;1000123209095344711;63791268439767;(0.708, 1.605, 0.430);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099631;1000123209190360426;63791268439867;(0.708, 1.605, 0.430);(-0.025, 0.033, -0.003, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099650;1000123209285379656;63791268439978;(0.708, 1.605, 0.430);(-0.025, 0.033, -0.004, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099672;1000123209395404559;63791268440067;(0.708, 1.605, 0.429);(-0.025, 0.033, -0.003, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099690;1000123209485488130;63791268440156;(0.708, 1.605, 0.430);(-0.025, 0.033, -0.003, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099712;1000123209595585328;63791268440267;(0.708, 1.605, 0.430);(-0.024, 0.033, -0.003, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099731;1000123209690606209;63791268440367;(0.708, 1.605, 0.430);(-0.018, 0.030, -0.005, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099750;1000123209785694044;63791268440457;(0.711, 1.609, 0.427);(-0.020, 0.012, -0.036, 0.999);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099772;1000123209895712911;63791268440567;(0.711, 1.622, 0.413);(-0.055, 0.017, -0.138, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099790;1000123209985731264;63791268440656;(0.706, 1.633, 0.392);(-0.053, 0.021, -0.223, 0.973);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099812;1000123210095826268;63791268440766;(0.700, 1.653, 0.370);(-0.062, -0.002, -0.230, 0.971);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099831;1000123210190840895;63791268440867;(0.686, 1.677, 0.351);(-0.091, -0.024, -0.217, 0.972);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099850;1000123210285855665;63791268440956;(0.656, 1.700, 0.324);(-0.098, -0.037, -0.176, 0.979);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099872;1000123210395871794;63791268441090;(0.578, 1.711, 0.285);(-0.054, -0.099, -0.098, 0.989);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099890;1000123210485885268;63791268441156;(0.531, 1.694, 0.270);(0.004, -0.154, -0.102, 0.983);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099912;1000123210595975329;63791268441267;(0.453, 1.632, 0.242);(0.153, -0.245, -0.158, 0.944);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099931;1000123210691049210;63791268441367;(0.389, 1.555, 0.207);(0.315, -0.312, -0.207, 0.872);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099950;1000123210786055804;63791268441456;(0.345, 1.490, 0.172);(0.432, -0.349, -0.206, 0.806);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099972;1000123210896137139;63791268441567;(0.307, 1.428, 0.132);(0.513, -0.360, -0.182, 0.758);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3099990;1000123210986202118;63791268441656;(0.286, 1.396, 0.110);(0.540, -0.338, -0.163, 0.754);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3100012;1000123211096275936;63791268441767;(0.267, 1.376, 0.094);(0.552, -0.288, -0.157, 0.766);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3100031;1000123211191337188;63791268441867;(0.248, 1.374, 0.090);(0.541, -0.247, -0.121, 0.795);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3100050;1000123211286395607;63791268441956;(0.230, 1.375, 0.083);(0.529, -0.218, -0.075, 0.817);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3100071;1000123211391456621;63791268442067;(0.213, 1.370, 0.065);(0.551, -0.155, -0.056, 0.818);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3100090;1000123211486508834;63791268442178;(0.211, 1.358, 0.050);(0.590, -0.080, -0.029, 0.803);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3100112;1000123211596571971;63791268442266;(0.211, 1.346, 0.038);(0.625, -0.028, -0.006, 0.780);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3100131;1000123211691559827;63791268442366;(0.212, 1.338, 0.027);(0.649, 0.014, 0.032, 0.760);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3100150;1000123211786549495;63791268442455;(0.209, 1.335, 0.021);(0.655, 0.033, 0.055, 0.753);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
3100171;1000123211891544222;63791268442566;(0.207, 1.343, 0.027);(0.642, 0.025, 0.082, 0.762);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;
